,Bal,Brick,Dist,Floor,Kitsp,Livesp,Metrdist,New,Nfloor,Price,Rooms,Totsp,Walk
225,1,0,1.2482943092370942,3,2.6390573296152584,4.248495242049359,7.0,0,3.0,23500000,3.0,4.544358046591334,1.0
226,1,0,0.6224073821063028,5,2.0794415416798357,3.8066624897703196,7.0,0,24.0,21400000,3.0,4.23410650459726,1.0
227,1,1,1.17064792179952,8,1.791759469228055,2.8903717578961645,7.0,0,8.0,10000000,1.0,3.4339872044851463,1.0
229,1,0,0.9787954411518662,8,2.4765384001174837,3.3463891451671604,10.0,0,16.0,10029600,2.0,3.919991175077323,1.0
230,1,0,0.9787954411518662,8,2.3978952727983707,3.332204510175204,5.0,0,16.0,10029600,2.0,3.912023005428146,1.0
231,1,0,0.8312340585072485,3,1.9459101490553132,2.8622008809294686,5.0,0,10.0,10100000,1.0,3.4965075614664802,1.0
232,1,1,0.9963997967269425,1,1.9459101490553132,3.4657359027997265,11.0,0,9.0,10100000,2.0,3.7977338590260183,1.0
233,1,1,0.9963997967269425,1,1.9459101490553132,3.4657359027997265,10.0,0,9.0,10100000,2.0,3.7977338590260183,1.0
234,1,0,1.3556816798638753,1,1.791759469228055,3.6888794541139363,10.0,0,9.0,10100000,3.0,4.0943445622221,1.0
235,1,0,1.0837018122259612,13,2.2300144001592104,2.8903717578961645,9.0,0,16.0,10150000,1.0,3.6584202466292277,1.0
236,1,0,1.4331607445593588,13,1.9459101490553132,2.8903717578961645,1.0,0,17.0,10150000,1.0,3.6635616461296463,0.0
237,1,1,1.3077056935505145,8,1.8082887711792655,3.1986731175506815,8.0,0,9.0,10200000,2.0,3.6888794541139363,1.0
238,1,1,1.4845418365447534,9,2.2407096892759584,2.9338568698359038,10.0,0,25.0,10250000,1.0,3.6888794541139363,1.0
239,0,0,1.3297081212784354,1,2.1972245773362196,3.5553480614894135,11.0,0,12.0,10300000,2.0,3.8501476017100584,1.0
240,1,0,1.388183054079072,2,1.9459101490553132,3.367295829986474,7.0,0,12.0,10300000,2.0,3.8066624897703196,1.0
241,1,1,1.0913354430721773,4,2.1972245773362196,2.833213344056216,10.0,0,9.0,10300000,1.0,3.6109179126442243,0.0
243,1,0,0.9787954411518662,13,2.3978952727983707,3.332204510175204,5.0,0,16.0,10329300,2.0,3.8918202981106265,1.0
244,1,1,1.4001018193295671,2,2.70805020110221,3.1780538303479458,11.0,1,44.0,10351200,1.0,3.8199077165203406,1.0
245,1,1,1.668697435860322,3,2.1972245773362196,3.8501476017100584,9.0,0,6.0,10400000,3.0,4.174387269895637,1.0
246,1,0,1.4045098078752833,3,2.0794415416798357,2.995732273553991,1.0,0,17.0,10400000,1.0,3.6888794541139363,1.0
247,1,0,0.9793685331914748,3,1.791759469228055,3.332204510175204,9.0,0,5.0,10400000,2.0,3.7376696182833684,1.0
248,1,1,0.955820792693097,2,1.791759469228055,2.9444389791664403,7.0,0,5.0,10450000,1.0,3.4657359027997265,1.0
249,1,1,1.4872395539700518,5,2.1972245773362196,3.5263605246161616,15.0,0,14.0,10500000,2.0,3.970291913552122,1.0
250,1,0,1.5794607247589718,2,2.302585092994046,2.9444389791664403,2.0,0,5.0,10500000,1.0,3.56953269648137,1.0
251,1,0,1.4045098078752833,11,2.1972245773362196,2.9444389791664403,3.0,0,17.0,10500000,1.0,3.6635616461296463,1.0
253,1,1,0.8892189439353319,9,2.1400661634962708,3.9889840465642745,14.0,0,9.0,23000000,3.0,4.330733340286331,1.0
254,1,1,0.3331418295738995,4,3.295836866004329,4.605170185988092,4.0,0,6.0,114240275,3.0,5.402677381872279,1.0
255,1,0,1.1462715920286626,8,2.0149030205422647,3.091042453358316,5.0,0,8.0,10500000,2.0,3.6375861597263857,1.0
256,1,0,1.4077855387450058,4,1.9459101490553132,3.1354942159291497,2.0,0,12.0,10500000,2.0,3.6375861597263857,1.0
257,1,1,1.0072408450153423,4,2.0149030205422647,2.797281334830153,6.0,0,16.0,10500000,1.0,3.6375861597263857,1.0
258,1,0,1.3636497172245186,7,1.791759469228055,3.4011973816621555,9.0,0,12.0,10500000,2.0,3.634951112088381,1.0
261,1,1,1.2574527558129662,1,1.8870696490323797,3.7612001156935624,5.0,0,5.0,10600000,3.0,4.110873864173311,1.0
263,1,0,0.9069206984918209,3,1.791759469228055,3.4339872044851463,7.0,0,5.0,10700000,2.0,3.871201010907891,1.0
264,1,1,1.3198443669116187,12,2.1972245773362196,2.8903717578961645,10.0,1,12.0,10700000,1.0,3.6109179126442243,1.0
265,1,0,1.4988657524443545,7,1.9459101490553132,3.4965075614664802,5.0,0,12.0,10700000,2.0,3.912023005428146,1.0
266,1,1,1.3052922030586258,4,1.791759469228055,3.353406717825807,7.0,0,5.0,10799999,2.0,3.784189633918261,1.0
267,1,0,1.5848427590873462,15,2.0794415416798357,3.332204510175204,10.0,0,16.0,10800000,2.0,3.8918202981106265,1.0
268,1,1,1.2562858783672028,5,1.6094379124341003,3.258096538021482,5.0,0,5.0,10800000,2.0,3.7376696182833684,1.0
269,1,0,1.5194365816149744,7,1.791759469228055,2.995732273553991,8.0,0,8.0,10800000,1.0,3.4657359027997265,1.0
275,1,0,1.1463751554766124,2,3.091042453358316,2.9444389791664403,5.0,0,9.0,10900000,2.0,3.8066624897703196,0.0
276,1,0,1.779541667932227,6,2.302585092994046,3.5263605246161616,15.0,0,12.0,10900000,2.0,3.9512437185814275,1.0
277,1,1,1.280596531439114,5,2.174751721484161,2.8213788864092133,7.0,0,12.0,10900000,1.0,3.5779478934066544,1.0
280,1,1,1.0722181570099674,17,2.9444389791664403,4.206184043977636,5.0,0,20.0,54800000,2.0,4.919980925828125,1.0
283,1,1,1.4045098078752833,5,2.302585092994046,2.9444389791664403,2.0,0,17.0,10950000,1.0,3.6888794541139363,1.0
285,1,0,1.3320525338947473,8,1.6094379124341003,3.5263605246161616,3.0,0,9.0,10990000,2.0,3.784189633918261,1.0
286,1,1,1.6254164320816846,2,2.5649493574615367,3.4657359027997265,15.0,0,5.0,10990000,2.0,3.9889840465642745,0.0
287,1,1,1.5118973142498493,4,1.791759469228055,3.2268439945173775,8.0,0,5.0,10999000,2.0,3.6888794541139363,1.0
288,1,1,1.4036515530165443,6,1.791759469228055,3.4011973816621555,5.0,0,8.0,11000000,2.0,3.7612001156935624,1.0
289,1,1,1.5340371928057017,20,1.9459101490553132,2.8903717578961645,10.0,0,21.0,11000000,1.0,3.6888794541139363,1.0
290,1,1,1.0052206319600572,3,1.791759469228055,2.8903717578961645,10.0,0,5.0,11000000,1.0,3.4339872044851463,1.0
291,1,1,1.3993810133868938,3,2.1972245773362196,2.995732273553991,10.0,0,7.0,11000000,1.0,3.6109179126442243,1.0
292,1,1,1.3263287496077885,2,2.0794415416798357,3.4011973816621555,6.0,0,6.0,11000000,2.0,3.8501476017100584,1.0
293,0,1,1.6986379642548972,3,1.9459101490553132,3.5263605246161616,15.0,0,6.0,11018787,1.0,3.8897773964808264,1.0
294,1,0,1.2367487748191053,12,2.2617630984737906,3.4339872044851463,7.0,0,12.0,11086000,2.0,3.9219733362813143,1.0
295,1,0,1.3376091356251105,9,1.8718021769015913,3.258096538021482,5.0,0,12.0,11200000,2.0,3.655839600035736,1.0
296,1,1,1.3414456048099668,3,2.1972245773362196,2.995732273553991,7.0,0,9.0,11200000,1.0,3.7376696182833684,1.0
297,1,1,1.1209457575387363,3,2.0412203288596382,3.068052935133617,5.0,0,9.0,11200000,2.0,3.591817741270805,1.0
298,1,1,1.028874380988497,5,1.7404661748405046,3.4011973816621555,8.0,0,5.0,11200000,2.0,3.7184382563554808,1.0
300,1,1,1.3022273692528918,8,2.302585092994046,2.714694743820879,5.0,0,12.0,11280000,1.0,3.5779478934066544,1.0
301,1,1,1.280596531439114,10,2.302585092994046,2.70805020110221,10.0,0,12.0,11300000,1.0,3.58351893845611,1.0
302,1,0,1.3533755177079378,4,1.8562979903656263,3.8066624897703196,3.0,0,12.0,11300000,3.0,4.007333185232471,1.0
303,1,1,1.5123038145302932,3,2.0794415416798357,3.7376696182833684,6.0,0,5.0,11300000,2.0,4.127134385045092,1.0
306,1,1,1.631322449307856,4,2.1972245773362196,3.9318256327243257,10.0,0,5.0,11390000,3.0,4.290459441148391,1.0
307,1,1,1.3491744078044432,1,1.791759469228055,3.1354942159291497,3.0,0,9.0,11400000,2.0,3.7376696182833684,1.0
309,0,0,0.9854927549030545,3,3.2188758248682006,4.584967478670572,10.0,0,10.0,59000000,3.0,4.812184355372417,1.0
311,1,1,1.4986404716774304,9,2.6390573296152584,2.995732273553991,5.0,0,12.0,11400000,1.0,3.7612001156935624,1.0
312,1,0,1.0547034005981628,5,1.9459101490553132,3.597312260588446,5.0,0,8.0,11490000,2.0,3.9512437185814275,1.0
313,1,1,1.1050397329428667,11,2.33214389523559,3.0007198150650303,11.0,1,18.0,11493100,1.0,3.7773481021015445,1.0
314,0,1,1.2960374961752255,1,1.6094379124341003,3.4011973816621555,6.0,0,5.0,11500000,2.0,3.7612001156935624,1.0
315,1,0,1.4579225229988035,3,2.0918640616783932,3.449987545831587,3.0,0,16.0,11500000,2.0,3.9646154555473165,1.0
316,1,1,0.5739158311619383,1,1.9021075263969205,3.0492730404820207,4.0,0,9.0,11500000,2.0,3.5322256440685598,1.0
