,Bal,Brick,Dist,District,Floor,Kitsp,Link,Livesp,Metrdist,N,New,Nfloor,Price,Rooms,Tel,Totsp,Walk
118,0,0,4.075651203998337,0,1,,http://www.cian.ru/sale/flat/149031231/,44.0,6.0,118,1,,8570754,1,,44.0,1.0
119,1,1,4.055612885607759,0,22,11.0,http://www.cian.ru/sale/flat/151242014/,20.1,11.0,119,1,44.0,8589500,1,,41.9,1.0
120,1,1,4.075651203998337,0,3,,http://www.cian.ru/sale/flat/151929942/,,5.0,120,0,8.0,8600000,2,,50.0,1.0
121,1,0,3.495765589209369,0,6,10.0,http://www.cian.ru/sale/flat/150782945/,20.0,5.0,121,0,12.0,8600000,1,,35.0,1.0
122,0,1,4.049282264729725,0,3,,http://www.cian.ru/sale/flat/148800461/,50.0,5.0,122,0,6.0,8628726,2,0.0,50.0,1.0
123,0,0,4.075651203998337,0,3,,http://www.cian.ru/sale/flat/149031366/,50.0,6.0,123,1,,8628726,1,,50.0,1.0
124,1,0,3.1160399951860187,0,14,10.0,http://www.cian.ru/sale/flat/152214598/,19.0,9.0,124,0,16.0,8650000,1,,39.0,1.0
125,1,0,4.758651638819743,0,4,,http://www.cian.ru/sale/flat/151352123/,,12.0,125,1,20.0,8676500,1,,33.5,0.0
126,1,0,4.420579800365222,0,12,8.0,http://www.cian.ru/sale/flat/148350834/,19.0,10.0,126,0,17.0,8700000,1,,39.0,1.0
127,1,0,4.817904220295025,0,6,6.0,http://www.cian.ru/sale/flat/150297774/,29.3,15.0,127,0,12.0,8700000,2,1.0,45.0,1.0
128,1,1,4.008673416256554,0,4,8.0,http://www.cian.ru/sale/flat/152165685/,38.0,9.0,128,0,6.0,8700000,3,,52.0,1.0
129,1,0,3.495765589209369,0,8,10.0,http://www.cian.ru/sale/flat/151637227/,20.0,5.0,129,0,12.0,8700000,1,1.0,36.0,1.0
130,0,0,4.075651203998337,0,5,,http://www.cian.ru/sale/flat/149031314/,37.6,6.0,130,1,,8753326,1,,37.6,1.0
131,1,1,3.9472307091081382,0,1,6.0,http://www.cian.ru/sale/flat/151620419/,40.0,8.0,131,0,7.0,8800000,2,1.0,53.0,1.0
132,1,0,3.93898967138992,0,11,7.5,http://www.cian.ru/sale/flat/151552450/,22.2,5.0,132,0,12.0,8800000,2,1.0,39.5,1.0
133,0,0,2.2593170948631762,0,4,7.0,http://www.cian.ru/sale/flat/150515133/,17.0,4.0,133,0,12.0,8800000,1,1.0,33.0,0.0
